"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"Russell Gage","TB","11","59","$1","131.5","3.7","6","Gage quietly finished strong for the Falcons a season ago. From Weeks 12-17, he was the WR12 in fantasy land, earning an average of 8.4 targets per game as the lone viable receiving option across from Kyle Pitts. Now in Tampa Bay, Gage gets a big-time QB upgrade to Tom Brady, but his target competition probably limits his fantasy ceiling. Because Tampa throws at such an elevated rate, we can expect some usable fantasy weeks from Gage especially if Chris Godwin starts the year slowly. Consider him FLEX territory.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Randall Cobb","GB","14","60","$1","131.4","6.3","6","Per our extensive research, Cobb is the only WR left on the Green Bay roster who has done a State Farm commercial with Aaron Rodgers, which means he leads the group in trust rankings. In all seriousness, this WR depth chart is wide open, and Cobb should see some targets out of the slot. If 4 catches for 32 yards is your thing, ole Randy Cobb is your guy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rondale Moore","ARI","13","61","$1","126.6","5.0","6","Moore’s 2022 fantasy outlook has been a wild ride this off-season. After DeAndre Hopkins’ 6-game suspension, the trade for Marquise Brown, and the loss of Christian Kirk via free agency, Moore’s range of outcomes are all over the map. The reality is, however, unless Moore finds his way onto the field as the every down slot WR for the Cardinals, he just won’t see the field often enough to be reliable in fantasy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DeAndre Hopkins","ARI","13","62","$1","126.2","7.7","6","Hopkins is a tough guy to draft in season-long leagues this year given that he was slapped with a 6-game suspension to open the year. We know Hopkins is an extremely talented WR, but this isn’t the same role for Hopkins that it was when he was a Houston Texan. He’s now 30 years old, and in this Cardinals’ offense, the targets are more spread out. A year ago, he only saw a 20.7% target share which is well below the 30% mark he saw when he was in Houston. In general, the arrow is pointing down on Nuk.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Robbie Anderson","CAR","13","63","$1","125.5","7.3","6","Remember Robby Anderson? After a forgettable 2021 season, we don’t blame you if you don’t. He entered the year with the QB chemistry narrative with Sam Darnold thanks to their days together in New York, but man, did he disappoint. Anderson caught just 48% of his targets last year, one of the worst marks in football. Darnold is still playing QB for what projects as a bottom five offense. Yikes.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"KJ Hamler","DEN","9","64","$1","124.1","6.0","6","It's hard to remember after tearing his ACL a year ago and having hip issues but the Broncos took Hamler in the 2nd Round of the 2020 NFL Draft, the same draft they selected Jerry Jeudy. Hamler is a small, explosive receiver, who will likely play in the slot with Sutton and Jeudy on the outside. He's an interesting late-round flier in PPR leagues.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Donovan Peoples-Jones","CLE","9","65","$1","122.8","3.7","6","Amari Cooper is this team’s WR1, but the WR2 spot is a competition between DPJ and 2022 3rd round rookie, David Bell. Peoples-Jones has flashed an ability to produce on the deep ball intermittently throughout his young career and now he gets a QB upgrade to Deshaun Watson. We’ll see!","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jahan Dotson","WAS","14","66","$1","122.5","5.7","6","Terry McLaurin is still there to lead the team in targets, but the WR2 role is up for grabs after a disappointing season from Curtis Samuel. His 1st Round Draft capital suggests the team will want to work him into the lineup sooner rather than later, but can Carson Wentz support multiple fantasy pass catchers?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Corey Davis","NYJ","10","67","$1","121.6","5.3","6","Davis’ 2022 fantasy outlook depends largely on whether or not Zach Wilson can take a step forward in his second NFL season. Obviously, we sort of know what Davis is at this point in his career and with the team adding Elijah Moore last year and Garrett Wilson with the 10th overall pick this season, our expectations for the former #5 overall pick need to be kept in check. After all, the Jets ranked 28th in scoring and plays per game last year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mecole Hardman","KC","8","68","$1","121.2","5.3","6","The bull case for Mecole Hardman is that Tyreek Hill is out of the way and this is an ambiguous WR depth chart. The bear case is that the Chiefs may have told us how they feel about Hardman by their transactions this off-season. They signed MVS and JuJu in free agency then drafted Skyy Moore in round 2 of the NFL Draft. Of course, any WR tied to Patrick Mahomes will have usable fantasy weeks, but Hardman is tough to trust after what we’ve seen thus far.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jameson Williams","DET","6","69","$1","120.9","6.7","6","Jameson Williams tore his ACL in the National Title game for Alabama, so his rookie year could get off to a slow start. He’s a name to monitor for the second half of the season in what is quietly a really exciting Lions offense with a ton of talent.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jalen Tolbert","DAL","9","70","$1","120.7","5.3","6","Because Amari Cooper is now a Brown and Cedrick Wilson is a Dolphin, Dallas is among the leaders in the league in terms of vacated targets available at the WR position. If Tolbert can earn the WR3 role out of camp over James Washington, he could have some fantasy viable weeks in a good passing offense. Look for him on the waiver wire throughout the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Van Jefferson","LAR","7","71","$1","120.6","5.0","6","Jefferson’s 86 targets a year ago were second among Rams WRs, but his role in the offense took a hit when Odell Beckham arrived. Now, Allen Robinson is on the depth chart and Cooper Kupp is sure to dominate targets yet again. That leaves Van likely operating as the team’s deep threat. A year ago, he averaged 16 yards per reception, so we should get some spike weeks from Van on a good offense, but he’s unlikely to see enough volume to be reliable for fantasy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DJ Chark","DET","6","72","$1","119.7","4.3","6","The Lions' pass-catching room is suddenly one of the more exciting ones in football, but it’s awfully crowded. Chark joins a competition for targets that includes T.J. Hockenson, Amon-Ra St. Brown, rookie Jameson Williams, and D’Andre Swift out of the backfield. We should expect some splash weeks for Chark this year, but the consistency will be an issue.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Curtis Samuel","WAS","14","73","$1","119.2","7.7","6","Samuel’s 2021 season was one to forget. He was brought over from Carolina to reunite with Ron Rivera, but a lingering groin injury derailed his season. Now, the team added Jahan Dotson in the 1st round of the NFL Draft and re-signed JD McKissic to steal work out of the backfield. We won’t blame anyone for throwing a dart at Samuel late in their draft, but it’s tough to feel confident about Samuel in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Joshua Palmer","LAC","8","74","$1","115.1","3.7","6","Palmer flashed as a rookie at times last season, and there was hope he could emerge if the team decided to move on from Mike Williams. Well, they didn't! Instead, they locked up Williams to a 3-year deal, which makes Palmer the WR3 at best on this squad. Keep an eye out for him on the waiver wire this year should Williams or Keenan Allen miss any time.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Cedrick Wilson Jr.","MIA","11","75","$1","110.9","3.7","7","Wilson was quietly a nice option for the Cowboys at times last season but now finds himself playing on a depth chart that includes Tyreek Hill, Jaylen Waddle, and Mike Gesicki. Sure, he'll mix in as a WR3, but if Mike McDaniels wants to employ a scheme similar to that of San Francisco, we can't really get excited about a WR3 on a run-heavy team.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Nico Collins","HOU","6","76","$1","109.7","4.3","7","Brandin Cooks is the WR1 and John Metchie’s 2nd round draft capital suggests he’s the WR2 when he’s healthy. Collins will probably rotate as the WR3 on one of the worst teams in football.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"A.J. Green","ARI","13","77","$1","106.4","6.3","7","Oh, A.J… your career was amazing over the last decade, but as they say, all good things must come to an end. Green’s back with Arizona on a one-year deal for his age 34 season and averaged just 3.4 receptions per game last year. In other words, you couldn’t start him with any confidence. Sure, DeAndre Hopkins is suspended for six games and Christian Kirk is gone, but it was tough to watch last season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Devin Duvernay","BAL","10","78","$1","103.3","3.7","7","Marquise Brown’s 26% target share is gone, opening up plenty of volume for one of the WRs in Baltimore. That’s most likely to be Rashod Bateman, but Duvernay is a name to monitor for deeper formats as there’s a path to the WR2 role behind Bateman. Of course, the concern is that this offense figures to be run heavy and Mark Andrews will likely lead the team in targets.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Skyy Moore","KC","8","79","$1","102.2","5.7","7","Tyreek Hill’s 25% target share is up for grabs in KC’s offense, and with the lack of high-end talent on the WR depth chart, it makes sense to take some shots on Moore in drafts. After all, Mahomes has thrown for at least 37 TD in three of his four pro seasons as a starter. They can’t all go to Travis Kelce, right?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Alec Pierce","IND","14","80","$1","100.5","6.7","7","The Colts took Alec Pierce in the 2nd round of the NFL Draft, and the depth chart and opportunity behind Michael Pittman Jr. is wide open. He's one of just a handful of rookies that could take the field as early as Week 1, making him a fine late-round dart throw, especially in deeper formats.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Wan'Dale Robinson","NYG","9","81","$1","97.9","6.0","7","The Giants surprised a lot of people when they took Wan'Dale Robinson in Round 2 of April's draft. He'll probably carve out a role in the return game early in the season, but with Sterling Shepard recovering from a torn Achilles, he could work his way into the WR3/4 on the depth chart.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Parris Campbell","IND","14","82","$1","96.6","6.7","7","Injuries, injuries, and more injuries - that’s the story of Parris Campbell’s three-year career thus far. Maybe he can stay healthy and earn more playing time on a Colts depth chart that’s wide open behind Michael Pittman Jr.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Sammy Watkins","GB","14","83","$1","94.8","5.3","7","The Lizard King isn’t even a lock to make the Packers 53-man roster as he signed just a one-year deal worth $1.85 million and can be cut for the same dead cap hit as you, the reader. Yup, zero dollars.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Zay Jones","JAX","11","84","$1","92.0","5.5","8","Jones has struggled to earn targets in his career, as he’s failed to eclipse a 12% target share in each of his last three seasons in Las Vegas. It’s probably best we keep our expectations low for a WR who’s now playing for an organization that’s difficult to get excited about in Jacksonville.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Nick Westbrook-Ikhine","TEN","6","85","$1","87.5","4.3","8","Westbrook-Ikhine stepped in admirably last year when A.J. Brown and Julio Jones were hurt. He's the WR3 on this low-volume passing team who might carry a bigger role if Robert Woods starts slowly returning from injury or Treylon Burks has the rookie woes. He is off the redraft radar despite the fact his last name is fun to say.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Bryan Edwards","ATL","14","86","$1","85.4","6.7","8","Bryan Edwards is an eternal tease. He had a huge opportunity in Las Vegas with Henry Ruggs' being released and Darren Waller injured for a stretch. Instead, he was shown up by Hunter Renfrow, a guy who looks more like an accountant than an elite NFL WR. Regardless, Edwards was traded to Atlanta this off-season and could compete for a starting role. He's big but so is Drake London and Kyle Pitts.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Terrace Marshall Jr.","CAR","13","87","$1","85.1","7.7","8","Wowza...that 2021 season didn't go well did it? Despite 2nd round Draft capital, Marshall couldn't find his way onto the field. D.J. Moore and Robby Anderson are back, but the Panthers didn't do much to upgrade the QB position, so even if Anderson gets traded or Moore gets injured, it might not matter. Christian McCaffrey is also back to soak up a ton of targets out of the backfield.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Quez Watkins","PHI","7","88","$1","84.7","4.0","8","Watkins is a big play threat that is stuck as the 4th option at best on this low-volume passing attack. He'll have the occasional long bomb but A.J. Brown and DeVonta Smith should dominate the target share. Apart from injuries on the depth chart, he's best left on the waiver wire to start the season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jamison Crowder","BUF","7","89","$1","81.2","7.0","9","Crowder goes from one of the worst offenses in football a year ago with the Jets to playing in arguably the best offense in football with Josh Allen and the Bills. Cole Beasley saw a 19% target share last season, so Crowder should have an opportunity as the Bills’ slot WR. We know the ceiling for a guy like Crowdaaahhhhh is low, but he’s a solid bench option who can fill in during bye weeks.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Laviska Shenault Jr.","JAX","11","90","$1","80.7","6.8","9","Laviska didn’t do much in 2021 in Urban Meyer’s system where he was used as a low aDOT player. Maybe a scheme change and Trevor Lawrence in year two can change that, but at this point, Viska is nothing more than a late-round dart.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"George Pickens","PIT","9","91","$1","78.2","6.7","9","For 2022, we probably shouldn't expect too much given that he'll be competing with Diontae Johnson and Chase Claypool for targets. Of course, there are QB concerns as well with some combination of Kenny Pickett and Mitch Trubisky. He has the type of tools you want in a future WR1 but expecting anything more than being the 4th best option in this offense is probably wishful thinking.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Romeo Doubs","GB","14","92","$1","77.9","7.0","9","The 4th round rookie has received tons of camp buzz with Aaron Rodgers even recently praising his play on the practice field. Doubs had a productive final two years at Nevada and could be a solid outside receiver in this league. This is peak camp hype season so temper your expectations a bit considering Green Bay rookie WRs have never really produced for fantasy with Rodgers. He's a fun late stab in draft hoping you strike gold.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"David Bell","CLE","9","93","$1","77.9","6.0","9","Bell's range of outcomes in 2022 is pretty wide. A lot will depend on if Deshaun Watson gets to play all 17 games and if Bell can beat out Donovan Peoples-Jones as the WR2. He's been comped to a Jarvis Landry type, and ironically, Landry is no longer in Cleveland.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Olamide Zaccheaus","ATL","14","94","$1","77.6","5.3","9","If you haven't taken a look at the Falcons' depth chart, it's a real treat. We wouldn't recommend doing it while driving or bad things could happen. That depth chart includes Zaccheaus, who could be third in line for targets from ya boy Marcus Mariota. Let's be real, he's a replacement-level talent who is firmly behind Kyle Pitts and Drake London in the pecking order for one of (if not the) worst offense in football. Yucky.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Isaiah McKenzie","BUF","7","95","$1","77.4","7.0","9","McKenzie is a fun player to root for as he's been electric when given the opportunity in his career. He's a quick-twitch slot guy who blew up in Week 15 versus New England (11/125/1) in a spot start. With Cole Beasley gone, there is some healthy competition between McKenzie and veteran Jamison Crowder for the starting slot role. Buffalo ran 3-wide more than anyone in the league and the camp hype train is loud and constant for McKenzie to win the job. He's still mostly a late-round flier in PPR leagues.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Christian Watson","GB","14","96","$1","76.7","6.0","9","Davante Adams has averaged 153 targets per year over the last four seasons, opening up a massive hole on the depth chart. Can Christian Watson earn the trust of Aaron Rodgers as a rookie to help fill the void? We don't mind taking a flier later in drafts but realize that no rookie WR with Aaron Rodgers has ever seen more than 73 targets.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"N'Keal Harry","CHI","14","97","$1","73.9","5.7","9","Remember me? After being drafted with the final pick of the 1st Round in the 2019 NFL Draft, N’Keal Harry hasn’t been able to make any sort of impact. Bill Belichick identified the Patriots’ weaknesses and decided it was Harry that needed to go. Chicago might be even worse as the Justin Fields-led offense projects to be a low volume team. He'll have to fight off Byron Pringle and 3rd round pick Velus Jones Jr. to have any relevance. That doesn't sound like a tall order but then again, this is N'Keal Harry we're talking about...","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Byron Pringle","CHI","14","98","$1","73.6","7.3","9","Well, someone has to operate as the Bears WR2 this year, right? Although, Byron Pringle barely produced with Patrick Mahomes, so what makes us think he can be a reliable option with Justin Fields in year two?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Deonte Harty","NO","14","99","$1","71.6","4.0","9","Harty is a name you might've forgotten but he pops in a number of metrics we care about for fantasy. He was targeted on 26.9 percent of his routes (7th best among WRs) and an insane 2.69 yards per route run (5th best). With the additions of rookie Chris Olave and veteran Jarvis Landry, he might be squeezed into a part-time role in 2022. Nevertheless, he could find his way into fantasy relevance again if another WR goes down ahead of him.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Velus Jones Jr.","CHI","14","100","$1","67.0","6.7","9","Behind Darnell Mooney, the WR depth chart is wide open. Maybe Jones could surprise some people and catch a few passes from Justin Fields? He'll probably start the year as the team's kick and punt returner.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Anthony Schwartz","CLE","9","101","$1","60.7","4.7","9","Anthony Schwartz saw just 23 targets as a rookie. He'll have to compete with David Bell and Donovan Peoples-Jones for targets behind Amari Cooper.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Nelson Agholor","NE","10","102","$1","53.3","5.3","9","Remember when the Patriots out-bid themselves on Agholor and Kendrick Bourne last free agency period then chose to run the ball at the highest rate in football? Good times. Only four NFL WRs carry a bigger cap hit than Agholor in 2022. Unless the Patriots decide to let Mac Jones throw the ball more this year, they’re paying Agholor a ton of money to block his butt off.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyquan Thornton","NE","10","103","$1","46.1","6.0","10","We wouldn't be surprised to see Thornton get stuck behind the other Pats WRs as a rookie. He will probably contribute on special teams to open the year but could find his way onto the field as a field stretcher as the year goes on. Nevertheless, this is a low-volume passing offense and despite his tantalizing speed, he's not on the redraft radar in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Calvin Austin III","PIT","9","104","$1","44.9","7.0","10","Selected in the 4th round, Austin is a bit undersized (5'8"", 170) but ran a blazing 4.32 at the combine. He gathered back-to-back 1,000-yard seasons at Kentucky and has made some plays in training camp down the field. He'll have to overcome a crowded WR corps but he could have a chance to work his way into the rotation at some point.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Sterling Shepard","NYG","9","105","$1","39.7","9.0","10","Shepard is coming off a late-season Achilles injury, and a lot of the data shows older players struggle off this surgery. He recently turned 29 years old, suggesting the odds are stacked against him being productive, especially early in the season. While this new look offense under Brian Daboll is something to get excited about, Shepard’s injury makes him a giant question mark…pun intended.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tutu Atwell","LAR","7","106","$1","34.3","3.5","10","His weight (155 lbs) is frightening to imagine someone running around on an NFL football field. Terrifying, actually. Sean McVay did spend the team’s first draft pick (2nd round, 57th overall) in 2021 on Atwell and compared him to DeSean Jackson. With Van Jefferson potentially starting the year slow, he could see more snaps. He consistently weighs in at one tutu if your league rewards points for that kinda thing.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"James Washington","DAL","9","107","$1","27.4","7.0","10","Washington lands in Dallas on a one-year deal worth less than $2 million after earning a riveting 7.5% target share last season. I suppose Washington could earn some playing time as the Cowboys’ WR3/4, especially early in the season if Gallup isn’t ready to start the year coming off his ACL injury.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tim Patrick","DEN","9","108","$1","0.0","10.0","10","Fireball Jones! Oh, the hopes we had for you in 2022. Sadly the 6'4"" WR tore his ACL in early August and will miss the entire season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"John Metchie III","HOU","6","109","$1","0.0","10.0","10","Metchie tore his ACL during his final season at Alabama before being drafted by Houston in the 2nd round of this April’s Draft. He will likely start slow as a result, making him low on our boards in redraft, but he’s a name to monitor to see if he becomes a waiver wire hero later in the year. The depth chart behind Brandin Cooks is wide open in Houston.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
